traj_idx,frame,x,y,z
0,49.0,17.025800647010087,38.0,0
0,50.0,15.757818659795774,39.88429491010524,0
0,51.0,12.541149920942829,43.605409638444655,0
0,52.0,12.0,45.198561183926614,0
0,53.0,14.859273490443229,44.6704435287883,0
0,54.0,14.782390213756372,44.34868755415948,0
0,55.0,14.390276754767228,45.533317956545346,0
1,185.0,5.470971745391118,28.0,0
1,186.0,3.0,29.190576276501943,0
1,187.0,3.9818593378527396,30.233396381001654,0
2,42.0,27.50801632717055,52.51283496674884,0
2,43.0,27.0,52.76646114330791,0
2,44.0,28.417232710260194,51.395610096051456,0
2,45.0,28.34155702883934,51.160908692246295,0
2,46.0,29.049328476244042,49.65645737955049,0
2,47.0,28.4036290500815,45.97881654126975,0
2,48.0,28.2015549895602,45.0,0
2,49.0,27.25353319995427,47.061128089028415,0
2,50.0,27.56128984447063,49.49051936029534,0
3,95.0,37.0,13.391420071519015,0
3,96.0,37.44876921866381,12.15774829433964,0
3,97.0,39.01669619043081,10.316531019233835,0
3,98.0,40.46268634336134,10.0,0
4,64.0,16.110831880292267,54.0,0
4,65.0,16.890096586092483,56.790482899881056,0
4,66.0,13.25667656733252,59.42861463747259,0
4,67.0,13.0,59.94186330408249,0
4,68.0,13.362809144259472,59.80980632753358,0
5,81.0,40.28937590965157,63.846909600028965,0
5,82.0,41.30526635374444,60.085631734076145,0
5,83.0,40.43835500939102,57.474164286054375,0
5,84.0,41.177323927228514,57.0,0
5,85.0,40.72684848610888,57.373869867180815,0
5,86.0,40.22240315199747,57.600639576346154,0
5,87.0,38.0,61.4543491943771,0
6,54.0,14.867147333861361,47.095390802147904,0
6,55.0,14.0,48.193102163959566,0
6,56.0,16.63228780583841,48.21186876195338,0
6,57.0,18.507832761966448,47.0,0
7,84.0,38.899980853658946,51.698471486366444,0
7,85.0,37.0,51.0,0
7,86.0,37.96804738832735,52.559234168279204,0
8,170.0,60.30314358099693,49.166911142158156,0
8,171.0,57.49336023009221,48.746585972396986,0
8,172.0,55.842520168392895,47.48805605821619,0
8,173.0,57.16210697242151,47.02436752834127,0
8,174.0,55.0,46.0,0
9,135.0,32.973566469035816,21.0,0
9,136.0,34.05577907778991,21.022107898566723,0
